date;hot_curr;cold_curr;elec_curr;hot_usage;cold_usage;elec_usage;total_cost
2025-06-29T21:12:56;194.0;301.0;10880.0;2.0;3.0;113.0;1195.59
2025-09-11T07:24:50;197.0;303.0;10965.0;3.0;2.0;85.0;1202.36
2025-10-04T18:52:15;198.0;305.0;11077.0;1.0;2.0;112.0;932.1406604
